Age,Education,Marital Status,Parental Status,Children,Income,Total_Spending,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Web,Catalog,Store,Discount Purchases,Total_Promo,NumWebVisitsMonth,cluster
68,4,1,1,2,72550.0,1319,39,826,50,317,50,38,38,5,2,12,9,0,8,2
65,2,0,1,1,65486.0,507,29,245,19,125,37,67,14,4,2,10,1,0,2,2
58,3,1,0,0,79143.0,1693,2,650,37,780,27,167,32,6,9,13,1,0,3,1
45,2,0,1,1,35790.0,72,54,12,6,20,30,1,3,2,0,3,2,0,7,0
45,2,0,0,0,82582.0,1617,54,510,120,550,156,40,241,4,9,7,1,2,1,1
44,2,1,1,2,66373.0,606,57,328,9,124,12,24,109,4,2,10,7,0,3,2
67,3,1,0,0,82384.0,1957,55,984,51,432,180,120,190,3,10,13,1,1,1,1
56,2,0,0,0,70287.0,1093,30,295,35,482,121,120,40,5,5,10,1,0,3,1
34,2,0,1,1,27938.0,29,31,13,0,8,2,1,5,1,0,4,1,0,3,0
40,2,0,1,1,51381.5,46,57,11,3,22,2,2,6,2,0,3,2,0,6,0
54,4,1,1,1,55954.0,518,63,447,0,28,0,0,43,8,2,6,3,0,7,2
40,3,0,0,0,75777.0,1438,12,712,26,538,69,13,80,3,6,11,1,2,1,1
47,2,1,1,2,66653.0,612,18,452,18,102,16,18,6,4,2,12,4,0,3,2
70,2,0,1,1,61823.0,884,26,523,7,134,37,14,169,8,2,10,4,0,7,2
71,4,0,1,1,67680.0,606,8,546,0,48,0,6,6,7,3,8,1,0,5,2
74,2,1,0,0,70666.0,1076,29,398,40,367,119,122,30,7,4,4,1,0,4,1
51,2,1,1,1,25721.0,34,75,1,3,6,3,6,15,1,1,2,1,0,7,0
55,2,1,1,2,32474.0,11,0,10,0,1,0,0,0,1,0,2,1,0,7,0
43,1,0,1,1,88194.0,1274,19,688,14,309,201,24,38,11,10,10,1,2,5,1
64,2,1,1,1,69096.0,653,4,247,49,159,7,82,109,5,2,10,1,0,4,2
52,2,1,1,3,74854.0,1562,90,856,59,487,58,29,73,2,5,5,7,0,5,2
68,3,1,0,0,66991.0,1253,1,496,36,460,189,60,12,4,8,6,3,0,3,1
49,1,1,1,1,51381.5,109,25,25,3,43,17,4,17,3,0,3,3,0,8,0
63,2,1,1,1,65031.0,863,29,258,107,291,84,37,86,10,3,13,4,0,7,2
47,4,1,1,2,60631.0,661,88,565,6,65,0,6,19,9,2,8,5,1,7,2
70,2,1,0,0,28332.0,65,58,14,10,13,4,15,9,2,1,4,1,0,2,0
45,2,0,1,1,40246.0,13,68,2,1,6,2,1,1,1,0,2,1,0,6,0
50,3,1,0,0,75251.0,1890,34,721,111,925,97,18,18,7,6,5,1,0,5,1
46,2,0,0,0,75825.0,2209,40,1032,105,779,137,105,51,5,8,9,0,1,4,1
46,1,1,0,0,26326.0,18,12,1,0,5,0,3,9,0,0,3,1,0,3,0
57,2,1,0,0,56046.0,692,9,577,0,64,0,0,51,10,1,8,2,1,8,2
37,2,0,1,1,29760.0,165,87,64,4,68,7,5,17,3,1,4,4,0,8,0
53,2,1,1,1,26304.0,16,5,4,1,5,2,0,4,1,0,2,1,0,7,0
49,1,1,1,1,23559.0,79,87,25,5,19,7,0,23,3,0,3,3,0,7,0
59,3,1,0,0,38620.0,318,56,112,17,44,34,22,89,2,5,3,1,0,3,1
35,2,0,0,0,81361.0,778,18,163,23,424,27,65,76,3,10,13,1,0,1,1
62,2,1,1,2,29440.0,56,95,17,8,14,10,4,3,1,0,4,2,0,7,0
52,3,1,1,2,36138.0,151,48,130,0,16,0,0,5,3,1,4,5,1,7,0
65,2,0,1,1,50388.0,372,3,292,6,37,0,3,34,6,1,6,4,2,7,2
49,2,1,0,0,79593.0,1366,70,350,60,568,110,133,145,5,6,7,1,1,2,1
55,2,1,1,1,54178.0,194,79,135,9,39,4,0,7,2,2,5,1,0,2,0
65,4,1,1,3,51381.5,603,4,230,42,192,49,37,53,7,2,8,12,0,9,2
65,2,0,1,2,51381.5,18,45,7,0,8,2,0,1,1,0,2,1,0,7,0
49,3,1,0,0,51381.5,985,87,445,37,359,98,28,18,2,4,8,1,0,1,1
50,3,0,1,1,42394.0,32,69,15,2,10,0,1,4,1,0,3,1,0,7,0
52,4,1,1,1,23626.0,43,84,27,2,14,0,0,0,3,1,3,3,0,5,0
39,2,1,1,1,30096.0,45,30,5,3,11,12,5,9,2,0,3,1,0,6,0
62,2,0,1,1,47916.0,606,72,505,0,26,0,0,75,7,4,6,5,1,6,2
50,2,0,1,2,51813.0,63,37,51,2,7,0,1,2,2,0,3,2,0,7,0
71,1,1,0,0,78497.0,978,44,207,26,447,75,0,223,5,7,12,1,1,2,1
39,4,1,0,0,50150.0,410,32,135,46,92,65,61,11,5,2,7,2,0,5,1
62,1,0,1,1,47823.0,72,0,53,1,5,2,1,10,2,0,3,2,0,8,0
63,4,0,1,1,34554.0,55,43,41,1,6,2,0,5,2,0,3,2,0,6,0
43,2,1,1,1,85693.0,1169,59,386,172,183,185,132,111,9,5,11,2,0,5,1
77,4,1,0,0,65846.0,1120,68,562,81,276,80,40,81,6,3,6,1,0,4,1
63,2,1,0,0,87195.0,1097,35,217,76,690,50,26,38,3,11,5,1,0,1,1
43,0,1,1,1,24594.0,29,94,1,3,6,10,0,9,1,0,3,1,0,5,0
58,2,1,1,2,49096.0,187,15,144,1,32,2,1,7,4,1,4,4,0,7,0
53,2,1,1,2,52413.0,910,56,295,106,271,75,98,65,6,4,12,4,0,6,2
44,2,0,1,1,38557.0,145,17,76,3,31,4,4,27,3,1,3,2,0,7,0
62,3,1,0,0,89058.0,850,18,454,194,106,31,22,43,5,4,4,1,0,2,1
43,2,1,1,1,77298.0,969,46,425,115,292,23,35,79,6,6,11,1,0,3,1
31,4,0,0,0,68126.0,1820,40,1332,17,311,23,51,86,7,4,5,1,1,9,1
59,3,1,1,1,57288.0,608,27,527,0,21,0,0,60,8,1,8,3,1,6,2
31,2,0,0,0,86037.0,730,95,490,44,125,29,20,22,6,7,11,1,2,3,1
42,4,1,1,1,43974.0,551,19,378,0,101,0,0,72,6,4,6,5,0,7,2
60,2,0,1,2,50785.0,114,27,64,1,21,0,1,27,2,1,3,2,0,6,0
52,2,1,0,0,90765.0,1724,25,547,99,812,151,82,33,4,6,5,0,2,1,1
44,1,1,1,1,36550.0,577,74,47,90,94,123,103,120,9,1,5,5,0,9,2
55,1,1,1,2,30753.0,81,85,12,5,25,0,9,30,1,1,3,2,0,5,0
53,2,1,1,1,21918.0,33,37,1,6,7,11,5,3,2,0,3,2,0,6,0
69,3,1,1,1,56129.0,660,65,320,48,133,39,72,48,6,2,10,4,0,4,2
55,3,0,1,1,32557.0,80,13,34,3,29,0,4,10,2,1,3,3,0,5,0
37,3,1,1,2,19510.0,30,63,9,0,7,3,4,7,1,0,3,2,0,7,0
46,2,0,1,1,30992.0,43,83,17,0,14,7,3,2,1,0,3,1,0,7,0
39,2,0,0,0,101970.0,1135,69,722,27,102,44,72,168,6,8,13,0,3,2,1
57,1,1,0,0,71488.0,559,87,162,33,124,40,28,172,3,4,7,2,0,1,1
38,2,0,0,0,79607.0,1923,37,450,133,951,173,0,216,3,6,6,1,0,1,1
69,3,1,1,2,54348.0,90,51,70,0,16,0,0,4,2,0,4,2,0,6,0
61,4,1,1,1,51381.5,404,23,352,0,27,10,0,15,6,1,7,3,0,6,2
66,4,1,1,2,77376.0,661,72,492,19,110,16,12,12,6,3,10,4,0,4,2
70,2,1,1,1,62998.0,463,10,120,58,73,65,89,58,5,4,5,5,0,5,2
64,3,0,1,2,61331.0,632,42,534,5,47,0,5,41,11,1,6,5,0,8,2
53,2,1,0,0,73448.0,725,10,236,106,189,23,41,130,7,2,9,1,0,4,1
59,2,1,1,1,51381.5,725,96,231,65,196,38,71,124,6,5,7,1,0,4,2
58,4,1,1,2,41551.0,279,51,220,0,33,3,0,23,5,1,5,5,0,8,2
55,4,1,0,0,62981.0,1482,21,796,14,590,38,44,0,4,5,13,1,1,3,1
46,0,0,1,1,9548.0,29,31,0,1,3,10,6,9,1,0,3,2,0,8,0
63,4,1,1,3,33762.0,106,61,53,1,34,2,0,16,2,2,2,3,0,8,0
49,4,0,1,2,35860.0,49,37,15,0,8,4,2,20,1,1,2,2,1,5,0
57,4,0,1,2,36921.0,38,74,17,1,12,3,1,4,2,0,3,2,0,7,0
30,3,0,0,0,92859.0,2077,46,962,61,921,52,61,20,5,4,12,1,0,2,1
46,3,1,1,1,65104.0,1053,4,738,0,232,13,20,50,3,5,7,2,0,7,2
60,2,1,0,0,86111.0,1385,73,399,28,756,36,40,126,5,7,10,1,0,2,1
48,4,0,1,1,68352.0,871,47,614,16,132,43,33,33,8,5,9,3,0,6,2
34,2,1,1,1,41883.0,312,13,32,34,41,73,16,116,4,2,3,3,0,7,2
46,2,1,1,2,59809.0,877,36,598,16,141,32,41,49,3,3,6,3,0,8,2
47,2,1,1,1,23957.0,68,47,2,1,18,20,11,16,2,0,3,1,0,6,0
41,2,1,1,1,38547.0,22,49,6,1,10,0,1,4,1,0,2,1,0,8,0
49,1,1,1,3,35688.0,211,94,73,3,90,12,1,32,4,1,4,7,0,8,2
56,3,1,0,0,49605.0,127,65,42,16,29,12,20,8,2,1,4,1,0,3,0
69,3,1,1,2,59354.0,459,59,295,21,78,39,13,13,4,4,7,1,0,3,2
53,2,1,1,1,65747.0,460,96,346,17,48,23,13,13,8,1,6,4,1,6,2
50,1,1,1,1,46344.0,429,28,233,20,57,8,20,91,7,1,5,4,0,7,2
34,2,0,1,1,34176.0,89,12,5,7,24,19,14,20,3,0,4,4,0,6,0
70,4,1,1,1,61010.0,1021,57,888,0,57,0,0,76,8,5,11,2,0,5,2
73,2,1,0,0,69372.0,1381,10,997,26,269,34,13,42,10,4,6,1,2,4,1
64,2,0,1,1,49967.0,306,4,212,6,69,4,12,3,6,1,5,3,0,7,2
44,2,0,1,3,60199.0,18,49,8,1,7,2,0,0,0,0,3,1,0,4,0
45,2,1,1,1,55375.0,162,3,42,11,57,10,28,14,1,1,6,1,0,2,0
67,2,0,0,0,80317.0,1231,64,536,11,387,149,91,57,3,4,10,1,0,1,1
64,3,0,1,3,30523.0,13,0,5,0,3,0,0,5,1,0,2,1,0,7,0
77,4,1,0,0,70356.0,1706,20,1349,16,249,43,16,33,10,6,9,2,0,6,1
38,2,1,1,1,23228.0,121,91,53,3,49,7,4,5,3,0,4,4,0,8,0
47,4,0,0,0,74165.0,1293,9,1001,12,240,16,12,12,5,4,10,1,0,2,1
49,4,1,1,1,117416.25,1608,98,20,2,1582,1,2,1,0,22,0,15,0,0,2
56,2,1,1,3,43482.0,88,83,18,1,32,6,3,28,2,0,4,3,0,6,0
69,2,0,0,0,62551.0,421,27,125,16,98,134,21,27,6,7,4,1,1,3,1
63,2,0,0,0,52332.0,259,63,212,5,33,7,0,2,3,2,6,1,1,4,0
34,2,0,0,0,66951.0,1117,46,277,162,305,173,76,124,3,4,7,1,0,1,1
65,2,1,1,2,26091.0,89,84,15,10,19,8,17,20,2,1,3,3,0,5,0
57,2,1,1,2,33456.0,36,58,7,3,10,8,1,7,1,0,3,2,0,7,0
40,2,1,1,1,28718.0,57,78,12,4,6,11,8,16,2,0,3,2,0,8,0
52,2,1,1,2,50447.0,148,4,85,7,24,2,3,27,3,1,3,1,0,6,0
63,4,1,1,2,53537.0,93,17,81,0,6,0,0,6,2,1,3,2,0,5,0
55,2,0,1,1,52074.0,119,77,59,0,12,0,0,48,2,2,2,1,1,4,0
47,4,1,1,1,80427.0,1835,56,1149,71,449,69,71,26,11,8,8,1,0,5,1
74,4,1,0,0,83837.0,1318,79,847,66,119,86,89,111,9,10,5,1,2,4,1
52,4,1,1,2,38853.0,45,90,29,0,14,0,0,2,2,0,3,2,0,7,0
63,2,1,1,3,38285.0,10,96,2,0,5,2,0,1,0,0,3,1,0,2,0
71,1,1,0,0,78497.0,978,44,207,26,447,75,0,223,5,7,12,1,1,2,1
46,4,1,1,1,51650.0,191,81,152,3,22,2,5,7,4,1,4,1,0,5,0
34,1,1,1,1,16248.0,57,77,12,11,10,3,12,9,2,1,3,3,0,6,0
76,3,1,0,0,66835.0,1033,21,620,26,195,34,17,141,6,4,13,1,0,2,1
38,3,1,1,1,30477.0,66,16,47,1,6,0,0,12,1,1,3,1,0,6,0
61,0,1,0,0,28249.0,43,80,1,9,7,2,14,10,2,0,3,1,0,6,0
39,2,1,1,1,25271.0,50,45,10,1,18,10,4,7,1,1,2,1,0,9,0
52,4,0,1,1,32303.0,39,63,35,0,2,0,0,2,1,0,4,2,0,5,0
56,2,1,1,1,61286.0,608,34,356,0,107,19,9,117,7,1,8,2,0,5,2
46,2,1,0,0,74068.0,1581,14,783,30,537,140,76,15,4,10,9,1,0,2,1
58,4,1,1,2,45759.0,68,13,42,1,18,3,0,4,2,0,3,2,0,7,0
44,0,1,1,1,24882.0,80,52,1,4,10,29,0,36,1,1,2,1,1,6,0
33,4,1,0,0,66973.0,1282,98,466,22,432,147,113,102,8,7,12,1,0,3,1
90,1,0,1,1,36640.0,65,99,15,6,8,7,4,25,2,1,2,1,0,5,0
34,2,1,1,1,38872.0,91,93,23,3,21,3,19,22,3,0,3,2,0,8,0
49,2,1,1,2,51148.0,315,38,235,6,45,8,9,12,5,1,6,4,0,6,2
45,2,1,1,2,31353.0,31,24,10,0,10,3,1,7,1,1,2,2,0,8,0
42,3,1,0,0,69661.0,834,80,656,16,106,32,16,8,7,3,12,1,0,3,1
68,2,1,0,0,80067.0,1600,82,519,17,813,27,173,51,4,6,6,1,1,2,1
68,2,1,0,0,86718.0,1270,20,344,189,482,50,33,172,5,6,5,1,0,2,1
49,4,0,1,2,46854.0,263,81,96,1,79,7,1,79,5,1,3,6,1,8,2
70,2,0,1,1,69142.0,535,50,448,4,34,6,4,39,8,1,7,3,1,5,2
54,2,0,0,0,75922.0,1295,60,265,138,553,224,23,92,4,4,9,1,0,1,1
44,2,0,1,1,63693.0,1150,63,587,43,337,42,87,54,11,6,9,3,0,6,2
45,4,1,0,0,102160.0,1240,54,763,29,138,76,176,58,7,9,10,0,3,4,1
57,4,0,1,2,40637.0,38,72,22,0,13,0,0,3,1,0,3,2,0,7,0
38,3,0,0,0,18890.0,35,5,6,4,1,7,2,15,0,1,2,1,1,6,0
34,2,1,1,1,29604.0,53,88,7,6,13,7,6,14,1,0,3,1,1,9,0
59,3,0,1,2,48721.0,293,50,81,18,113,47,13,21,4,2,5,6,0,6,2
56,2,1,1,1,44794.0,65,99,54,0,7,0,0,4,2,0,3,1,0,6,0
68,2,0,1,1,64497.0,1804,17,1170,48,320,42,32,192,11,4,9,5,1,8,2
66,2,1,1,1,46097.0,241,11,72,24,68,65,4,8,3,1,6,5,0,4,2
68,2,1,0,0,77972.0,1101,18,613,22,319,33,102,12,4,6,9,1,0,1,1
54,4,1,1,2,44377.0,264,70,224,0,30,0,0,10,5,1,5,8,0,8,2
48,3,1,1,2,46014.0,541,21,410,0,59,19,9,44,7,1,8,10,0,7,2
37,2,1,0,0,70951.0,1198,66,239,10,554,254,87,54,3,4,9,1,0,1,1
45,2,1,1,1,41443.0,482,79,171,7,171,25,19,89,8,1,5,6,0,8,2
44,1,0,1,3,52195.0,17,2,12,0,4,0,0,1,1,0,2,1,0,8,0
74,3,1,0,0,83790.0,1615,81,1076,16,417,42,48,16,8,10,6,1,2,3,1
68,3,0,1,1,44551.0,285,24,182,4,33,0,0,66,4,1,5,2,0,7,0
42,2,1,1,1,69508.0,1135,48,824,32,162,42,32,43,11,4,11,2,0,6,2
34,1,1,1,1,45204.0,114,93,30,11,25,29,1,18,1,1,4,1,0,3,0
53,2,1,0,0,72460.0,1047,56,377,10,540,80,30,10,3,5,7,1,0,1,1
52,4,1,1,2,77622.0,714,3,520,7,154,19,0,14,6,3,11,2,0,3,2
42,4,1,1,1,30732.0,185,44,155,1,25,0,1,3,4,1,4,4,0,8,0
60,2,0,1,1,63887.0,1245,38,897,23,207,15,11,92,9,6,12,5,0,6,2
44,2,1,1,1,42011.0,189,46,131,0,16,2,1,39,3,1,4,4,0,8,0
46,2,1,1,1,51369.0,576,84,297,7,79,0,11,182,8,2,4,2,0,8,2
70,2,0,1,1,51537.0,1103,27,787,20,204,0,0,92,2,2,11,3,0,8,2
50,4,1,0,0,79930.0,1753,72,792,86,740,67,51,17,3,5,8,1,0,2,1
36,4,1,1,1,34320.0,17,66,4,1,9,3,0,0,1,0,2,1,0,8,0
56,2,0,1,2,37070.0,433,30,231,7,137,4,15,39,5,1,8,9,0,7,2
60,1,0,1,1,81975.0,1588,2,983,76,184,180,138,27,6,3,4,1,1,7,1
51,2,1,1,1,38590.0,22,65,3,1,8,4,3,3,1,0,2,1,0,8,0
71,2,0,0,0,15033.0,19,37,0,4,5,6,0,4,1,0,3,1,0,3,0
57,4,1,1,1,62745.0,1117,89,562,21,464,28,10,32,7,8,11,3,0,5,2
47,1,1,1,1,22212.0,69,49,5,9,20,6,8,21,2,0,4,2,0,6,0
40,3,1,1,1,23661.0,23,46,18,0,4,0,0,1,1,0,3,1,0,7,0
64,4,0,1,1,79761.0,605,32,415,5,124,15,35,11,5,2,11,1,0,3,2
49,2,0,1,1,7500.0,57,54,5,3,10,12,7,20,3,1,3,4,0,7,0
90,1,0,1,1,60182.0,22,23,8,0,5,7,0,2,1,0,2,1,0,4,0
54,2,0,0,0,73455.0,2088,98,901,61,757,186,163,20,6,5,10,1,1,3,1
64,2,1,1,1,64961.0,1009,97,382,114,276,75,124,38,6,4,4,2,0,3,1
51,2,0,1,1,22804.0,26,75,14,1,7,2,1,1,2,0,2,1,0,9,0
32,2,1,0,0,73687.0,1627,8,559,153,503,218,13,181,3,9,9,1,1,2,1
64,2,1,1,1,61074.0,1102,37,789,0,133,0,28,152,11,5,8,7,0,7,2
58,4,1,1,2,31686.0,17,31,11,0,5,0,0,1,1,0,3,2,0,6,0
50,2,1,1,1,80134.0,1690,40,1218,16,272,104,0,80,5,3,6,2,3,6,2
69,2,1,1,1,75027.0,1390,74,925,64,179,133,12,77,9,4,6,2,0,5,2
34,4,1,0,0,67546.0,2126,90,864,134,768,150,38,172,4,10,5,1,0,3,1
53,3,1,1,1,65176.0,1531,57,960,28,183,220,70,70,9,6,6,4,0,6,2
47,3,0,1,1,31160.0,64,59,16,3,25,6,1,13,2,0,3,2,0,8,0
37,2,0,1,1,29938.0,26,52,3,3,7,0,2,11,1,0,3,2,0,6,0
48,2,0,0,0,102692.0,1112,5,168,148,444,32,172,148,6,9,13,1,4,2,1
64,1,1,0,0,26490.0,210,92,45,47,52,21,20,25,3,1,5,2,0,6,0
55,2,1,1,2,75702.0,1148,77,650,28,353,45,42,30,4,6,11,5,0,8,2
48,4,0,1,1,30899.0,33,35,24,0,8,0,0,1,1,0,3,2,0,6,0
61,4,1,1,1,63342.0,1101,48,918,21,118,13,10,21,8,3,5,3,1,6,2
58,2,0,1,1,45989.0,322,97,138,33,87,28,24,12,3,2,7,4,0,3,2
58,2,0,1,2,18701.0,44,95,12,4,2,10,6,10,2,0,4,4,0,5,0
65,4,0,1,3,40737.0,17,24,11,0,4,0,0,2,1,0,2,1,0,8,0
43,2,0,1,1,15287.0,31,60,1,2,8,4,3,13,1,1,2,2,1,7,0
54,4,0,1,2,69674.0,845,46,554,41,215,11,0,24,10,2,10,3,0,5,2
52,3,1,1,1,44159.0,275,85,167,2,62,24,13,7,4,1,6,4,0,5,2
44,4,1,1,1,37717.0,25,31,9,0,6,4,1,5,1,0,2,1,0,9,0
70,3,1,1,2,43776.0,275,9,177,2,71,3,2,20,5,2,4,6,0,8,2
56,3,1,1,2,38179.0,90,30,38,4,22,4,2,20,3,1,3,4,0,7,0
59,2,1,0,0,80124.0,1495,47,483,84,398,205,84,241,3,7,8,1,1,1,1
52,4,1,1,2,38097.0,184,70,77,2,35,0,1,69,3,2,2,4,1,7,0
52,2,1,0,0,72940.0,981,13,182,74,298,162,149,116,3,3,6,1,0,1,1
52,2,1,1,1,22070.0,67,11,10,7,19,8,2,21,2,2,2,2,0,6,0
69,2,0,0,0,69267.0,1635,31,778,44,499,95,73,146,3,4,5,2,0,7,1
39,3,0,1,1,31788.0,60,15,16,7,23,0,8,6,3,0,4,3,0,5,0
47,4,1,1,1,61905.0,231,2,167,0,43,6,2,13,4,2,4,2,0,5,0
62,2,1,1,2,29315.0,48,55,13,2,14,8,7,4,2,0,4,4,0,6,0
59,2,0,1,2,33378.0,99,38,33,6,40,3,7,10,2,0,4,3,0,7,0
59,4,1,1,1,66313.0,770,86,625,7,99,10,22,7,6,3,12,2,0,4,2
66,2,0,0,0,60714.0,957,56,216,162,224,101,92,162,7,4,10,2,0,5,1
41,3,1,0,0,77882.0,818,29,68,129,396,188,22,15,3,3,5,1,0,1,1
36,4,0,0,0,69867.0,925,30,196,0,512,33,130,54,3,5,8,1,1,1,1
54,3,0,1,1,63841.0,908,64,635,15,100,20,7,131,9,3,9,1,0,6,2
41,0,1,1,1,24480.0,102,46,4,19,9,28,25,17,3,0,4,3,0,7,0
46,2,1,1,1,51369.0,576,84,297,7,79,0,11,182,8,2,4,2,0,8,2
76,2,1,0,0,37760.0,317,20,84,5,38,150,12,28,4,1,6,2,0,7,2
48,4,1,1,1,65640.0,461,74,204,7,149,20,15,66,5,1,8,1,0,2,2
47,3,1,1,2,44319.0,37,18,26,0,8,0,0,3,2,0,3,2,0,5,0
48,2,1,1,1,30631.0,70,75,15,6,20,4,5,20,3,1,2,1,0,7,0
70,2,1,0,0,75278.0,930,17,304,98,230,150,74,74,6,3,13,1,0,3,1
66,3,1,1,2,50898.0,859,88,285,28,242,55,114,135,6,2,12,13,0,5,2
56,2,0,0,0,79946.0,1478,19,395,183,565,166,141,28,5,11,5,1,0,3,1
73,3,0,0,0,35416.0,390,62,248,3,81,4,3,51,7,1,5,3,0,8,2
38,1,1,0,0,32414.0,52,11,20,6,5,0,9,12,1,0,3,1,1,7,0
53,2,1,1,1,38361.0,137,74,39,0,56,20,8,14,3,1,3,3,0,7,0
42,2,1,0,0,82497.0,1919,32,777,129,573,216,21,203,2,7,9,1,1,4,1
51,2,1,1,2,16626.0,68,76,8,3,22,21,1,13,3,0,3,3,0,9,0
57,2,1,1,2,29672.0,25,6,9,1,3,0,4,8,0,0,3,1,0,6,0
70,3,1,1,1,55951.0,1374,62,1241,0,80,0,13,40,3,6,11,3,2,8,2
34,1,0,1,1,35388.0,32,20,6,4,7,4,3,8,1,0,3,1,0,7,0
36,3,1,1,1,42386.0,100,43,65,4,16,0,4,11,3,0,3,1,0,8,0
40,2,0,0,0,68627.0,825,45,395,15,263,60,54,38,2,3,6,1,0,1,1
57,4,0,1,1,57912.0,916,34,801,0,80,0,0,35,8,3,12,5,1,5,2
64,2,0,1,2,35246.0,62,53,36,0,12,2,2,10,3,1,3,4,0,5,0
66,1,1,1,1,58821.0,728,44,513,14,154,19,0,28,9,2,9,1,0,6,2
44,4,1,1,1,46377.0,90,89,37,0,46,4,3,0,2,1,3,1,0,4,0
34,2,0,1,1,39747.0,273,43,80,15,93,20,13,52,5,1,4,3,0,8,2
